name,starting_price,winner_bid,timestamp
CATALYST,450.0,600,2020-12-05 23:31:24
CATALYST,400.0,550,2020-12-05 23:31:24
CATALYST,400.0,600,2020-12-05 23:31:24
FINISHER,800.0,1200,2020-12-05 23:31:24
FINISHER,900.0,1100,2020-12-05 23:31:24
FINISHER,800.0,800,2020-12-05 23:31:24
ENGINE,550.0,650,2020-12-06 03:12:20
ENGINE,550.0,850,2020-12-06 03:12:20
CATALYST,500.0,700,2020-12-06 03:12:20
CATALYST,400.0,650,2020-12-06 03:12:20
CATALYST,450.0,650,2020-12-06 03:12:20
CATALYST,400.0,550,2020-12-06 03:12:20
FINISHER,850.0,1000,2020-12-06 03:12:20
MARKSMAN,500.0,650,2020-12-06 03:12:20
ENGINE,600.0,600,2020-12-06 12:42:16
ENGINE,550.0,650,2020-12-06 12:42:16
CATALYST,1000.0,1000,2020-12-06 12:42:16
CATALYST,400.0,600,2020-12-06 12:42:16
SHADOW,3300.0,3600,2020-12-06 12:42:16
SNIPER,500.0,700,2020-12-06 12:42:16
SNIPER,450.0,450,2020-12-06 12:42:16
FINISHER,800.0,1300,2020-12-06 12:42:16
FINISHER,900.0,1100,2020-12-06 12:42:16
FINISHER,700.0,700,2020-12-06 12:42:16
MARKSMAN,500.0,600,2020-12-06 12:42:16
ARCHITECT,500.0,500,2020-12-06 12:42:16
SENTINEL,400.0,400,2020-12-06 12:42:16
ENGINE,500.0,850,2020-12-06 15:37:38
ENGINE,700.0,900,2020-12-06 15:37:38
ENGINE,450.0,700,2020-12-06 15:37:38
ENGINE,650.0,950,2020-12-06 15:37:38
ENGINE,500.0,750,2020-12-06 15:37:38
FINISHER,700.0,700,2020-12-06 15:37:38
ARCHITECT,500.0,700,2020-12-06 15:37:38
CATALYST,400.0,600,2020-12-06 18:18:04
CATALYST,500.0,600,2020-12-06 18:18:04
CATALYST,400.0,600,2020-12-06 18:18:04
SHADOW,3000.0,3000,2020-12-06 18:18:04
FINISHER,800.0,800,2020-12-06 18:18:04
Willems,450.0,500,2020-12-07 00:43:02
ENGINE,550.0,650,2020-12-07 00:43:02
ENGINE,550.0,650,2020-12-07 00:43:02
ENGINE,500.0,700,2020-12-07 00:43:02
ENGINE,550.0,550,2020-12-07 00:43:02
ENGINE,550.0,550,2020-12-07 00:43:02
ENGINE,500.0,500,2020-12-07 00:43:02
ENGINE,500.0,650,2020-12-07 00:43:02
CATALYST,400.0,600,2020-12-07 00:43:02
CATALYST,400.0,400,2020-12-07 00:43:02
CATALYST,450.0,500,2020-12-07 00:43:02
SHADOW,3000.0,3500,2020-12-07 00:43:02
SHADOW,3000.0,3600,2020-12-07 00:43:02
MARKSMAN,500.0,600,2020-12-07 00:43:02
ARTIST,550.0,750,2020-12-07 00:43:02
ENGINE,550.0,550,2020-12-07 01:58:25
ENGINE,600.0,600,2020-12-07 01:58:25
ENGINE,550.0,550,2020-12-07 11:06:00
ENGINE,550.0,750,2020-12-07 11:06:00
ENGINE,600.0,900,2020-12-07 11:06:00
ENGINE,700.0,800,2020-12-07 11:06:00
FINISHER,800.0,1100,2020-12-07 11:06:00
ENGINE,500.0,700,2020-12-07 13:20:25
ENGINE,550.0,650,2020-12-07 13:20:25
SNIPER,400.0,400,2020-12-07 13:20:25
FINISHER,750.0,750,2020-12-07 13:20:25
FINISHER,850.0,1200,2020-12-07 13:20:25
FINISHER,800.0,1200,2020-12-07 13:20:25
SENTINEL,500.0,700,2020-12-07 13:20:25
ENGINE,600.0,750,2020-12-07 16:32:50
CATALYST,400.0,400,2020-12-07 16:52:53
CATALYST,350.0,350,2020-12-07 16:52:53
CATALYST,400.0,400,2020-12-07 16:52:53
FINISHER,750.0,850,2020-12-07 16:52:53
FINISHER,800.0,800,2020-12-07 16:52:53
ENGINE,500.0,500,2020-12-08 01:21:19
FINISHER,600.0,600,2020-12-08 01:21:19
FINISHER,800.0,950,2020-12-08 01:21:19
ENGINE,600.0,650,2020-12-08 18:22:19
ENGINE,550.0,550,2020-12-08 18:22:19
FINISHER,700.0,700,2020-12-08 18:22:19
FINISHER,800.0,1100,2020-12-08 18:22:19
FINISHER,800.0,1100,2020-12-08 19:11:37
Fabinho,24750.0,25000,2020-12-08 22:40:57
ENGINE,450.0,450,2020-12-08 22:40:57
ENGINE,500.0,500,2020-12-08 22:40:57
ENGINE,550.0,750,2020-12-08 22:40:57
ENGINE,600.0,650,2020-12-08 22:40:57
ENGINE,500.0,700,2020-12-08 22:40:57
ENGINE,550.0,800,2020-12-08 22:40:57
ENGINE,500.0,650,2020-12-08 22:40:57
SHADOW,3200.0,3400,2020-12-08 22:40:57
FINISHER,800.0,800,2020-12-08 22:40:57
ENGINE,550.0,650,2020-12-09 01:24:59
Griezmann,32000.0,33000,2020-12-09 01:51:12
Bernardo Silva,25000.0,26000,2020-12-09 11:49:30
FINISHER,800.0,900,2020-12-09 11:49:30
Gomez,59000.0,59500,2020-12-09 12:22:32
Payet,1100.0,1200,2020-12-09 12:22:32
ENGINE,550.0,650,2020-12-09 12:22:32
ENGINE,500.0,900,2020-12-09 13:33:13
ENGINE,500.0,750,2020-12-09 13:33:13
